# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = bernoulli_model
# start_datetime = 2023-10-13 01:40:23 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = bernoulli.json
# init = 2 (Default)
# random
#   seed = 769305535 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-74-g10b8ef0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.864925
# Diagonal elements of inverse mass matrix:
# 0.505499
-6.74806,0.997415,0.864925,1,3,0,6.88709,0.24884
-6.76275,0.996677,0.864925,1,3,0,6.76777,0.228968
-7.61122,0.892089,0.864925,2,3,0,7.64656,0.113555
-7.37135,1,0.864925,1,1,0,7.61313,0.13021
-7.23713,0.981907,0.864925,2,3,0,7.76741,0.14172
-7.27631,0.894271,0.864925,2,3,0,8.69783,0.390399
-7.83794,0.856623,0.864925,1,1,0,7.88963,0.456291
-6.79619,1,0.864925,2,3,0,7.69984,0.212602
-6.7483,0.984086,0.864925,2,3,0,6.92814,0.252931
-6.75037,0.999295,0.864925,1,3,0,6.75273,0.241491
-7.00226,0.942424,0.864925,1,3,0,7.11233,0.345305
-6.91701,1,0.864925,2,3,0,7.00435,0.32689
-6.94715,0.997489,0.864925,2,3,0,6.98053,0.333805
-6.94715,0.588836,0.864925,1,3,0,9.29557,0.333805
-6.81999,1,0.864925,1,1,0,6.91744,0.299294
-6.81905,1,0.864925,2,7,0,6.82004,0.20497
-6.74805,0.998395,0.864925,1,3,0,6.83345,0.249101
-6.75429,0.998604,0.864925,1,3,0,6.7563,0.236177
-6.87371,0.977432,0.864925,1,3,0,6.89801,0.191076
-6.79703,0.979536,0.864925,1,3,0,7.07437,0.290426
-7.0208,0.906184,0.864925,1,3,0,7.39249,0.166027
-6.85702,0.992617,0.864925,2,3,0,7.12856,0.194873
-6.75253,0.992903,0.864925,1,3,0,6.9199,0.261988
-7.33754,0.919082,0.864925,2,3,0,7.34094,0.132928
-7.29406,1,0.864925,1,1,0,7.40431,0.136594
-6.74803,1,0.864925,2,3,0,7.1988,0.250559
-6.86047,0.972497,0.864925,1,3,0,6.91403,0.194062
-8.14207,0.806658,0.864925,1,3,0,8.55087,0.0871077
-7.50466,1,0.864925,1,1,0,8.07233,0.12045
-6.79692,0.981636,0.864925,1,3,0,7.56608,0.212333
-6.77731,1,0.864925,1,1,0,6.79492,0.220592
-6.85728,0.926968,0.864925,2,3,0,7.34219,0.194811
-6.81087,0.979925,0.864925,1,3,0,7.07642,0.295959
-6.95339,0.966062,0.864925,1,1,0,6.95357,0.335175
